GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
hamburgueria,com.lanchonete.lanche.visitor,CalculadoraCaloriasVisitor,7,27,0,0,2,8,1,5,1,5
hamburgueria,com.lanchonete.lanche.visitor,RelatorioCozinhaVisitor,45,38,6,2,11,11,6,4,2,4
hamburgueria,com.lanchonete.pedido,Pedido,5,176,1,11,1,50,1,23,0,18
hamburgueria,com.lanchonete.mediator,CentralOperacoesMediator,26,11,10,2,9,4,8,2,2,2
hamburgueria,com.lanchonete.facade,SistemaRestauranteFacade,26,30,4,2,8,10,5,3,2,3
hamburgueria,com.lanchonete.entrega,Delivery,0,61,0,0,0,11,0,5,0,5
hamburgueria,com.lanchonete.entrega,Loja,0,31,0,0,0,6,0,3,0,3
hamburgueria,com.lanchonete.entrega,Entrega,9,19,1,1,3,8,2,3,1,3
hamburgueria,com.lanchonete.entrega,DriveThrough,0,31,0,0,0,7,0,3,0,3
hamburgueria,com.lanchonete.entrega.state,Preparando,8,16,0,0,4,6,2,3,2,3
hamburgueria,com.lanchonete.entrega.state,EmRota,8,16,0,0,4,6,2,3,2,3
hamburgueria,com.lanchonete.entrega.state,Entregue,8,9,0,0,4,4,2,3,2,3
hamburgueria,com.lanchonete.pedido.memento,PedidoMomento,0,25,0,0,0,8,0,4,0,4
hamburgueria,com.lanchonete.pedido.memento,PedidoCaretaker,14,29,3,3,3,7,4,3,1,3
hamburgueria,com.lanchonete.desconto,DescontoCombo,1,22,1,3,0,5,1,3,0,2
hamburgueria,com.lanchonete.desconto,SemDesconto,0,5,0,0,0,2,0,2,0,2
hamburgueria,com.lanchonete.desconto,DescontoHandler,0,7,0,0,0,3,0,2,0,2
hamburgueria,com.lanchonete.lanche,Hamburguer,0,11,0,0,0,5,0,4,0,4
hamburgueria,com.lanchonete.lanche,Combo,20,19,3,3,6,6,6,1,3,1
hamburgueria,com.lanchonete.pedido.builder,PedidoConcreteBuilder,6,72,0,0,4,14,2,5,2,5
hamburgueria,com.lanchonete.pedido.builder,PedidoDirectorBuilder,0,21,0,0,0,11,0,5,0,5
hamburgueria,com.lanchonete.lanche.decorator,IngredientesExtraDecorator,13,13,0,2,4,5,3,2,3,1
hamburgueria,com.lanchonete.lanche.decorator,ExtraQueijo,0,29,0,0,0,7,0,4,0,4
hamburgueria,com.lanchonete.lanche.decorator,ExtraBacon,0,29,0,0,0,7,0,4,0,4
